,prompt,response
646,I don't know it might just not go anywhere ever right not sure drive is often,mmm
647,mmm,because I don't know if I would if I'd be able to cut back drinking enough to like not have to like feel okay
648,because I don't know if I would if I'd be able to cut back drinking enough to like not have to like feel okay,hmm so that strategy might not work
649,hmm so that strategy might not work,I guess not
650,I guess not,that's something you've been tossing around though this idea of isolating a little bit more and drinking a little less seems like all your options here kind of grim
651,that's something you've been tossing around though this idea of isolating a little bit more and drinking a little less seems like all your options here kind of grim,yeah
652,yeah,is that just is that just me or does it seem that way to you to
653,is that just is that just me or does it seem that way to you to,now that I'm like talking through it yeah and I don't think I have any choice really
654,you don't have any choice what's gonna happen it's going to happen,I don't know
655,I don't know,all right so let's start with early know or pick up with what we know you don't want to make a bad impression in this whole court proceeding with the DUI what do you think you could do that would make a bad person
656,all right so let's start with early know or pick up with what we know you don't want to make a bad impression in this whole court proceeding with the DUI what do you think you could do that would make a bad person,Um go to court wrong test positive if I get drug tested
657,Um go to court wrong test positive if I get drug tested,That would do it
658,That would do it,I would do it get another DUI in the meantime
659,I would do it get another DUI in the meantime,that wouldn't look good either all right so you want to avoid those behaviors for sure so you know for sure you don't want it those things would it be acceptable to do those things
660,that wouldn't look good either all right so you want to avoid those behaviors for sure so you know for sure you don't want it those things would it be acceptable to do those things,I mean not really I mean I think I could avoid the nollie drunk-driving enough or maybe not to drank the day of my court date but I don't know about the whole you marijuana part
661,that's tougher,yeah
662,yeah,all right so would you appreciate those as goals like avoiding those situations like going in the court drunk
663,all right so would you appreciate those as goals like avoiding those situations like going in the court drunk,yeah
664,yeah,goals that you could get behind
665,goals that you could get behind,um I mean I can try I guess so like think about it and try to get out there I know I'm gonna be stressed out the day of my court dates are it's gonna be hard to like not drink that day
666,you're not striking me as overly enthusiastic about this idea,No I am not
667,No I am not,this is really tough for you the alcohol
668,this is really tough for you the alcohol,um
669,um,the marijuana that are important to you
670,the marijuana that are important to you,yeah
671,yeah,this whole DUI thing  it's really just encroached on something you had going on that you enjoyed
672,this whole DUI thing  it's really just encroached on something you had going on that you enjoyed,yeah
673,yeah,so is this an inconvenience that you can move past or is this a major life event that does change things
674,so is this an inconvenience that you can move past or is this a major life event that does change things,Um I don't know because I don't know any other like way around it than just dealing with it I mean if I like don't go to court or anything that's gonna warrant out for me like I can't I can't avoid this situation
675,Um I don't know because I don't know any other like way around it than just dealing with it I mean if I like don't go to court or anything that's gonna warrant out for me like I can't I can't avoid this situation,what if as a condition of your treatment the judge says no more drinking in no more marijuana period legacy to that you obey those rules or or jail
676,what if as a condition of your treatment the judge says no more drinking in no more marijuana period legacy to that you obey those rules or or jail,I don't know if it would I get to that I know it possibly could that probably will but I I don't know
677,I don't know if it would I get to that I know it possibly could that probably will but I I don't know,I would think it almost certainly would have
678,I would think it almost certainly would have,yeah I don't know what I'm gonna do I can't imagine like not drinking and using drugs I'm sure I would like leave court that day thinking I would but I don't know what happened when I get home for the next day or that day
679,yeah I don't know what I'm gonna do I can't imagine like not drinking and using drugs I'm sure I would like leave court that day thinking I would but I don't know what happened when I get home for the next day or that day,let's go back a couple of steps how long have you been using the alcohol marijuana
680,let's go back a couple of steps how long have you been using the alcohol marijuana,for about like six years
681,for about like six years,six years
682,six years,have you ever until now with the DUI have you ever envisioned stopping
683,have you ever until now with the DUI have you ever envisioned stopping,no
684,no,what's your plan like what pre DUI well is your plan in all this
685,what's your plan like what pre DUI well is your plan in all this,I just I did like the jerking kind of has gotten worse it wasn't always that bad I've always used marijuana but the alcohol is I guess I've been using a little bit more recently so I didn't really ever have a plan the marijuana never really looked affected my life too much but I guess the alcohol has been a little bit more
686,I just I did like the jerking kind of has gotten worse it wasn't always that bad I've always used marijuana but the alcohol is I guess I've been using a little bit more recently so I didn't really ever have a plan the marijuana never really looked affected my life too much but I guess the alcohol has been a little bit more,yeah so without this or something you would have continued using yeah for years to come
687,yeah so without this or something you would have continued using yeah for years to come,yeah I didn't really have any like I never like thought I want to stop doing this or anything like that or had a reason to or
688,yeah I didn't really have any like I never like thought I want to stop doing this or anything like that or had a reason to or,till now
689,till now,yeah
690,yeah,could this be in a strange way like an opportunity
691,could this be in a strange way like an opportunity,I mean I guess if I had if I wanted to stop this would be a way for me to stop or a reason for me to stop
692,I mean I guess if I had if I wanted to stop this would be a way for me to stop or a reason for me to stop,if you really wanted to stop could you stop
693,if you really wanted to stop could you stop,I don't know may I guess I could try but I don't have that one
694,I don't know may I guess I could try but I don't have that one,you could give it a shot you're just not sure you could you could actually do it
695,you could give it a shot you're just not sure you could you could actually do it,yeah I mean I've never tried to before so I don't know
696,yeah I mean I've never tried to before so I don't know,it's just unknown
697,it's just unknown,yeah yeah
698,yeah yeah,so where do you want to go from here you have this DUI I imagine a hearing or some type coming up right here to see me what can I do to help you
699,so where do you want to go from here you have this DUI I imagine a hearing or some type coming up right here to see me what can I do to help you,um I guess yes help me figure out whether or not like I do want to stop drinking or using drugs I mean that might be something that I have to do right now I don't really want to so I don't know if I could like get to a place where I actually do want to stop it'd be easier to actually do it then
700,um I guess yes help me figure out whether or not like I do want to stop drinking or using drugs I mean that might be something that I have to do right now I don't really want to so I don't know if I could like get to a place where I actually do want to stop it'd be easier to actually do it then,like a like a place in terms of your thinking like your mentality
701,like a like a place in terms of your thinking like your mentality,yeah
702,yeah,okay do you want to work on that
703,okay do you want to work on that,yeah
704,yeah,all right so between now I'm going to see again do you have any hearings or anything coming up
705,all right so between now I'm going to see again do you have any hearings or anything coming up,no they're not for like a few more weeks
706,no they're not for like a few more weeks,a few more weeks so I'll see you again I know you have the IOP and everything here I'll see you again in a week and let's pick up with that anything changes we're hearing is moved up just snubby now
707,a few more weeks so I'll see you again I know you have the IOP and everything here I'll see you again in a week and let's pick up with that anything changes we're hearing is moved up just snubby now,okay
708,okay,thanks Pepe
709,thanks Pepe,thank you
710,thank you,come on in
711,come on in,okay
712,okay,hey Larry how are you doing today
713,hey Larry how are you doing today,fine
714,fine,oh okay alright but before we get started I just wanted to tell you how proud I was a blue and group on Friday night yes that you really really helped Debbie in the role play
715,oh okay alright but before we get started I just wanted to tell you how proud I was a blue and group on Friday night yes that you really really helped Debbie in the role play,I am your boss
716,I am your boss,yeah who's that fuzz it's kind of reverse roles like that you know so I just wanted to tell you that you know the whole group appreciated and you did a great job
717,yeah who's that fuzz it's kind of reverse roles like that you know so I just wanted to tell you that you know the whole group appreciated and you did a great job,thank you
718,thank you,okay all right well I gotta say you look a little agitated
719,okay all right well I gotta say you look a little agitated,yeah well my mother's been bothering me so much about you know all the chores and the laundry and the dishes
720,yeah well my mother's been bothering me so much about you know all the chores and the laundry and the dishes,okay
721,okay,I just can't stand it I'm so busy looking for a job
722,I just can't stand it I'm so busy looking for a job,okay
723,okay,oh
724,oh,well I tell you what then before we get started in our session let's go through just a real quick breathing exercise just to kind of bring you into the here and now
725,well I tell you what then before we get started in our session let's go through just a real quick breathing exercise just to kind of bring you into the here and now,okay
726,okay,you're not where you were an hour ago you have to worry about an hour from now that's just kind of right here okay can we do that we've done this a couple times in grooving in those practice it now it's sufficient being on the floor there we go put your hands on where you're comfortable you sitting up straight you've comfortable closing your eyes
727,you're not where you were an hour ago you have to worry about an hour from now that's just kind of right here okay can we do that we've done this a couple times in grooving in those practice it now it's sufficient being on the floor there we go put your hands on where you're comfortable you sitting up straight you've comfortable closing your eyes,yes
728,yes,yes all right so let's not clench your hands you go first thing you're going to do is take a nice deep breath and you're going to blow it out slowly through your lips just like you're blowing out the candles on a birthday cake but very slow again to feel the air drove into you sensation on your lips your Grandpa's always your breath is there always there for you to remember that's better you're here and throw it say everything's good so let me ask you question yeah you gonna bring me something or find something
729,yes all right so let's not clench your hands you go first thing you're going to do is take a nice deep breath and you're going to blow it out slowly through your lips just like you're blowing out the candles on a birthday cake but very slow again to feel the air drove into you sensation on your lips your Grandpa's always your breath is there always there for you to remember that's better you're here and throw it say everything's good so let me ask you question yeah you gonna bring me something or find something,oh that's right oh I found something
730,oh that's right oh I found something,that you could touch your hole
731,that you could touch your hole,oh that's beautiful
732,oh that's beautiful,okay so what do you what do you do with it
733,okay so what do you what do you do with it,well this I mean I sometimes I put it just so I can feel it on the back of my neck sometimes I put it in my lap
734,well this I mean I sometimes I put it just so I can feel it on the back of my neck sometimes I put it in my lap,okay
735,okay,you feel better just you know familiar things
736,you feel better just you know familiar things,oh that's right so we'll go ahead and keep in your lap now you can touch it and help keep you singers and keep you here
737,oh that's right so we'll go ahead and keep in your lap now you can touch it and help keep you singers and keep you here,okay
738,okay,so now that your little calmer let's talk about what happened with mom before you came here this afternoon
739,so now that your little calmer let's talk about what happened with mom before you came here this afternoon,okay well I mean she knows that I'm looking for a job and she knows that I'm going to school and just every time I walk in the door she asks me to do the dishes no matter what and I just we get in a huge argument over well you've been home for two more hours and I've been home so why didn't you do the dishes or why didn't you start the dishes and and we scream at each other and I scream we have screaming matches I always try to scream louder than her and then she gets upset
740,alright so it's back and forth in the situate a situation escalates and you slam doors and,we slam doors and stuff how do I get the impression
741,we slam doors and stuff how do I get the impression,okay well let's use this situation that has happened to you because today I wanted to actually work on awesome interpersonal would give them and I have a handout sheet to give you and it's called the give technique I want you to take a look at this handout you can take that home with you we're going to talk about this we can directly apply this to what happened today with your mom because this is going to happen again right same situation with your mom so it's a it's a an acronym give giv e why don't you read what those letters stand for
742,okay well let's use this situation that has happened to you because today I wanted to actually work on awesome interpersonal would give them and I have a handout sheet to give you and it's called the give technique I want you to take a look at this handout you can take that home with you we're going to talk about this we can directly apply this to what happened today with your mom because this is going to happen again right same situation with your mom so it's a it's a an acronym give giv e why don't you read what those letters stand for,okay G gentle be gentle I interested act act interested the validate e easy manner use amazing manners
743,okay so this is just something that when a situation starts to escalate you can just say give,okay
744,okay,gentle the interested validate and use an easy manner folks it's something it's really short and quick so in your situation with your mother when she started yelling at you about doing stuff if you thought okay G how would that look
745,gentle the interested validate and use an easy manner folks it's something it's really short and quick so in your situation with your mother when she started yelling at you about doing stuff if you thought okay G how would that look,G gentle um like it not yellow I could be quieter
746,G gentle um like it not yellow I could be quieter,okay maybe your tone of voice so if you thought gentle that would probably stop in your tone of your voice a little bit and that would be a good response
747,okay maybe your tone of voice so if you thought gentle that would probably stop in your tone of your voice a little bit and that would be a good response,okay
748,okay,okay that's very good good what about act interested
749,okay that's very good good what about act interested,I'm going to make eye contact with her
750,okay that's important so she knows that you're listening,the intention that you're paying attention
751,the intention that you're paying attention,right okay that would be something that you could do quickly and easily okay and what about validate it's an interesting word what what might that how might you validate what your mother is saying
752,right okay that would be something that you could do quickly and easily okay and what about validate it's an interesting word what what might that how might you validate what your mother is saying,I'm I can tell her that I understand that she would like me to help out around the house
753,yes because you know what if you live together is it important that you work together and get everything done nobody likes to do housework but you all have to do it so does she have a good point,yeah
754,yeah,can you validate what she's saying that that you do hear what she's saying it's important that you do these things and you know I know that you have a lot on your plate certainly your mother notion have a lot on your plate Taylor right
755,can you validate what she's saying that that you do hear what she's saying it's important that you do these things and you know I know that you have a lot on your plate certainly your mother notion have a lot on your plate Taylor right,okay
756,okay,you're dealing with a lot so but you can still validate her concerns -
757,you're dealing with a lot so but you can still validate her concerns -,okay
758,okay,in an easy manner what would that look like for you
759,in an easy manner what would that look like for you,um I I mean I kind of aggressive so I guess that could be you know I tried be more light-hearted about the situation if we start getting in arguments like it if we try to tell a joke there's no way I was like and
760,um I I mean I kind of aggressive so I guess that could be you know I tried be more light-hearted about the situation if we start getting in arguments like it if we try to tell a joke there's no way I was like and,they kind of difficult to tell a joke in the middle of a heated situation its Butthead but
761,they kind of difficult to tell a joke in the middle of a heated situation its Butthead but,yeah
762,yeah,you could you could slow down
763,you could you could slow down,okay
764,okay,slow down and maybe stay calm and just think that think of the letter e easy whatever that that word easy would make you feel
765,slow down and maybe stay calm and just think that think of the letter e easy whatever that that word easy would make you feel,okay
766,okay,so what are the three what the four letters again
767,so what are the three what the four letters again,G I
768,G I,G for
769,G for,gentle interested validate easy
770,gentle interested validate easy,easy okay good good good good so you're going to take that home and you're going to look that over all right okay put that go ahead and put that it
771,easy okay good good good good so you're going to take that home and you're going to look that over all right okay put that go ahead and put that it,yeah
772,yeah,in your workbook so it's a it's a really easy acronym to remember
773,in your workbook so it's a it's a really easy acronym to remember,speaking of acronym I used the stop technique that you taught me
774,speaking of acronym I used the stop technique that you taught me,you did yeah I want to hear about
775,you did yeah I want to hear about,the other day
776,the other day,oh happy
777,oh happy,yep the other day I was in traffic and I was getting on the highway and nobody was letting me in you know everybody was cutting me off I was getting so nervous and anxious because I couldn't get on the highway and then what was going to happen if I couldn't get on the highway and I am with a panic attack
778,yep the other day I was in traffic and I was getting on the highway and nobody was letting me in you know everybody was cutting me off I was getting so nervous and anxious because I couldn't get on the highway and then what was going to happen if I couldn't get on the highway and I am with a panic attack,oh
779,oh,and I calmed myself down I stopped
780,and I calmed myself down I stopped,stopped is the
781,stopped is the,S
782,S,yeah
783,yeah,I stopped I took a breath
784,T you took it breath and kind of like took a step back okay,observe my observe situation I said if I can't get on my Highway I'll just get off I'll get off and then I can get right back on and then P I proceeded with driving
785,observe my observe situation I said if I can't get on my Highway I'll just get off I'll get off and then I can get right back on and then P I proceeded with driving,oh well I'm so I'm thrilled I'm so happy and it was quick and easy to remember
786,oh well I'm so I'm thrilled I'm so happy and it was quick and easy to remember,yes yes
787,yes yes,how did I make you feel to be able to change a behavior like that because ordinarily you would have been cursing and having that anxiety attack
788,how did I make you feel to be able to change a behavior like that because ordinarily you would have been cursing and having that anxiety attack,right I was trying not to do all those things so I thought you know it to stop I just have to it kind of took me over I took it changed my focus and I had that to focus on so I didn't actually stop in the middle the highway but I you know
789,right I was trying not to do all those things so I thought you know it to stop I just have to it kind of took me over I took it changed my focus and I had that to focus on so I didn't actually stop in the middle the highway but I you know,I am so proud of you that is awesome Taylor think I am just that couldn't be happier and wait till we tell the group
790,I am so proud of you that is awesome Taylor think I am just that couldn't be happier and wait till we tell the group,oh yeah
791,oh yeah,that is no good that would be so good so one more thing I want to give you today one more tool of your little toolkit it's called the opposites and it actually it's in your workbook if you look on page 233 got it if I know anger is one of your emotions that we're working on when I'm is one of our targets here and this has to do with the opposites and you can actually use some of these opposites when you're doing the give technique or when you're doing the stop technique and what it is is that whatever it is that you ordinarily do in response to situations how you react you do the opposite
792,that is no good that would be so good so one more thing I want to give you today one more tool of your little toolkit it's called the opposites and it actually it's in your workbook if you look on page 233 got it if I know anger is one of your emotions that we're working on when I'm is one of our targets here and this has to do with the opposites and you can actually use some of these opposites when you're doing the give technique or when you're doing the stop technique and what it is is that whatever it is that you ordinarily do in response to situations how you react you do the opposite,ok
793,ok,so we're going to practice this we're going to practice more a group but I want you to kind of get an idea of what it is today so let me ask you a question when you feel angry what do you usually do with your hands
794,so we're going to practice this we're going to practice more a group but I want you to kind of get an idea of what it is today so let me ask you a question when you feel angry what do you usually do with your hands,yes
795,yes,yeah kind of tight balled up tan
796,yeah kind of tight balled up tan,right
797,right,so what would be the opposite of that
798,so what would be the opposite of that,out to anyone
799,out to anyone,relax we laugh okay so that would be the opposite of that okay so when you feel like going like that okay or or just keep your hands
800,relax we laugh okay so that would be the opposite of that okay so when you feel like going like that okay or or just keep your hands,open
801,open,okay all right let's see what says your stomach muscles in your chest when you're angry what does that feel like
802,okay all right let's see what says your stomach muscles in your chest when you're angry what does that feel like,usual it kind of punched over tight i hunched over
803,usual it kind of punched over tight i hunched over,so if you want to do the absolute opposite of that what would that look like
804,so if you want to do the absolute opposite of that what would that look like,sitting up straight stomach relaxed like I'm taking a deep breath
805,sitting up straight stomach relaxed like I'm taking a deep breath,deep breath deep exactly it's hard to take a deep breath when you're like that
806,deep breath deep exactly it's hard to take a deep breath when you're like that,okay
807,okay,good that's good good good okay what about your face what if what happens when you're angry you're G you're
808,good that's good good good okay what about your face what if what happens when you're angry you're G you're,I clench my teeth
809,I clench my teeth,you can let your two together and you know Brown in and tight so what would be the opposite of that
810,you can let your two together and you know Brown in and tight so what would be the opposite of that,relaxed thanks maybe a little
811,relaxed thanks maybe a little,maybe a little smile two little eyes you're up to it nothing fake but this is all meant to be behaviors that you do on purpose so maybe you feel yourself like this you can do it all at once
812,maybe a little smile two little eyes you're up to it nothing fake but this is all meant to be behaviors that you do on purpose so maybe you feel yourself like this you can do it all at once,okay
813,okay,and that's something you can choose so got a lot here that you're in your little toolkit for one session so I want you to add this to your homework list
814,and that's something you can choose so got a lot here that you're in your little toolkit for one session so I want you to add this to your homework list,okay
815,okay,go ahead and write this down
816,go ahead and write this down,okay
817,okay,I want you this week to make a list in your journal of the times that you've used your stock technique you've already used at one so go ahead and you can put that could be your first entry
818,I want you this week to make a list in your journal of the times that you've used your stock technique you've already used at one so go ahead and you can put that could be your first entry,okay
819,okay,when you used your gift technique
820,when you used your gift technique,hmm
821,hmm,and when you use the opposites of a happening and what I want you to do is first put what preceded what that was happening before you decided to use it for this technique so whether it was an argument your mother or somebody cut you off you know you're getting stressed about a homework assignment whatever happens to be what happened before which behavior you choose to use which skill set you're going to implement and then how do you sell afterwards okay and it made you feel calmer happier got along better with your mother you were able to finish your assignment without anxiety that whatever that happened to be
822,and when you use the opposites of a happening and what I want you to do is first put what preceded what that was happening before you decided to use it for this technique so whether it was an argument your mother or somebody cut you off you know you're getting stressed about a homework assignment whatever happens to be what happened before which behavior you choose to use which skill set you're going to implement and then how do you sell afterwards okay and it made you feel calmer happier got along better with your mother you were able to finish your assignment without anxiety that whatever that happened to be,okay
823,okay,and I also want you to at least once a day do your breathing technique
824,and I also want you to at least once a day do your breathing technique,okay
825,okay,okay even if it's just for one minute just to bring you back into the here and now just to bring you into the present and to know that you can breathe and your breath helps you to remain calm okay sounds good all right it seemed very different than when you walked in here half an hour ago so it's um it's good I'm happy for you to it you're making progress I am very excited for you okay I love your little first scarf ever wish I had one just like it
826,okay even if it's just for one minute just to bring you back into the here and now just to bring you into the present and to know that you can breathe and your breath helps you to remain calm okay sounds good all right it seemed very different than when you walked in here half an hour ago so it's um it's good I'm happy for you to it you're making progress I am very excited for you okay I love your little first scarf ever wish I had one just like it,oh
827,oh,okay
828,okay,okay
829,okay,go do some good work I'll see you in group
830,go do some good work I'll see you in group,okay
831,okay,on Friday night
832,on Friday night,okay
833,okay,all right thanks
834,all right thanks,thanks bye
835,thanks bye,hi Andrea thanks for coming in
836,hi Andrea thanks for coming in,thank you
837,thank you,so I don't know how much you know already about sort of my role here and why you're even here so I thought I'd start by telling you a little bit about myself basically my job is to meet with all of the students I meet with everybody about once or twice a semester and just talk with you a little bit about how things are going different behaviors that you might be engaging in and thinking about any changes you might want to make for your life if you decide that you do it's not my job to change you I couldn't even if I wanted to that's not my role at all it's really to help you think about you know how things are going for you and how you might like making changes or moving forward that sound okay all right so why don't we start by you telling me a little bit about yourself
838,so I don't know how much you know already about sort of my role here and why you're even here so I thought I'd start by telling you a little bit about myself basically my job is to meet with all of the students I meet with everybody about once or twice a semester and just talk with you a little bit about how things are going different behaviors that you might be engaging in and thinking about any changes you might want to make for your life if you decide that you do it's not my job to change you I couldn't even if I wanted to that's not my role at all it's really to help you think about you know how things are going for you and how you might like making changes or moving forward that sound okay all right so why don't we start by you telling me a little bit about yourself,sure um as you know I'm Andrea I uh I'm a junior I'm in the marching band I played at center sacks I mean yeah I'm also in the little bit of a band geek I play you know the Wind Ensemble and the Jazz Band things like that
839,sure um as you know I'm Andrea I uh I'm a junior I'm in the marching band I played at center sacks I mean yeah I'm also in the little bit of a band geek I play you know the Wind Ensemble and the Jazz Band things like that,wow you really are involved in music
840,wow you really are involved in music,yeah
841,yeah,when did you start
842,when did you start,I started playing about 10 years ago actually
843,I started playing about 10 years ago actually,Wow
844,Wow,yeah I start on the violin first and then I went on explored a little with the piano clarinet finally found the tenor sax hmm yeah
845,yeah I start on the violin first and then I went on explored a little with the piano clarinet finally found the tenor sax hmm yeah,very cool I've always wanted to be good at music all right so it sounds like you're in band and a few other musical ensembles any other hobbies you have or things you like to do for fun
846,very cool I've always wanted to be good at music all right so it sounds like you're in band and a few other musical ensembles any other hobbies you have or things you like to do for fun,um you know just hanging out with my friends or go to the beach things like that
847,um you know just hanging out with my friends or go to the beach things like that,it's kind of everyday sort of thing okay tell me a little bit about your family
848,it's kind of everyday sort of thing okay tell me a little bit about your family,uh well I have one older brother he's about eight and a half old years older than me my parents and I have dog
849,uh well I have one older brother he's about eight and a half old years older than me my parents and I have dog,cute what kind of dogs
850,cute what kind of dogs,the golden retriever
851,the golden retriever,oh nice
852,oh nice,I'm a big boy
853,I'm a big boy,very fun all right and how are things going in school for you
854,very fun all right and how are things going in school for you,pretty good grades have been pretty all right still like 3.7 ish
855,pretty good grades have been pretty all right still like 3.7 ish,okay great so you're doing well what sorts of goals do you have for after college or after high school
856,okay great so you're doing well what sorts of goals do you have for after college or after high school,I'd like to you know I'd like to of course graduate high school hopefully go to a nice Ivy League school or I mean that might not happen and then I'd like to go on become a doctor study psychology you need to come a psychiatrist or something
857,okay you have some pretty big dreams,yeah
858,yeah,it's great that's really exciting to think about that and he's going to be looking forward to the future and those things all right well one thing I'm going to ask you about is um you know different people have sort of different things that they really value in their life whether it's you know their cultural identity or their family or their friends or job or hobbies things like that so here's a little sheet that goes through just some basic values that might be more or less important to certain people like belonging or sense of community again cultural identity or family friendship modesty religion respect self-determination and spirituality so when you think about yourself which of these are kind of most important to you in terms of your life
859,it's great that's really exciting to think about that and he's going to be looking forward to the future and those things all right well one thing I'm going to ask you about is um you know different people have sort of different things that they really value in their life whether it's you know their cultural identity or their family or their friends or job or hobbies things like that so here's a little sheet that goes through just some basic values that might be more or less important to certain people like belonging or sense of community again cultural identity or family friendship modesty religion respect self-determination and spirituality so when you think about yourself which of these are kind of most important to you in terms of your life,um I think a sense of community and belonging
860,um I think a sense of community and belonging,okay
861,okay,I think those two and um respect respect
862,I think those two and um respect respect,okay can you tell me a little bit about why you picked those three
863,okay can you tell me a little bit about why you picked those three,yeah well I think the community belonging I kind of related them um you know how I said I was in the marching band I really you know I really enjoyed being in like that team setting of you know being with other people and all working to work together towards that one goal
864,yeah well I think the community belonging I kind of related them um you know how I said I was in the marching band I really you know I really enjoyed being in like that team setting of you know being with other people and all working to work together towards that one goal,mm-hmm
865,mm-hmm,and then in terms of respect I I kind of view that as one of like my major like rules like I I really do think respect is important to respect myself or respect those around me so
866,and then in terms of respect I I kind of view that as one of like my major like rules like I I really do think respect is important to respect myself or respect those around me so,okay
867,okay,I place great importance in that
868,okay great so sort of being a part of a group and being a part of a team gives you a sense of belonging like you said a sense of purpose anyway and then the respect is really sort of all-encompassing it's not just Authority but respecting yourself respecting your teammates or your bandmates and other people around you okay that's great all right well one of the things I want to talk to you about sort of relates to belonging and your friends so what kinds of things do you like to do when you get together with your friends,um sometimes if you just you know go to the movies go to the beach like I had said or sometimes we just get together someone's house play some board games and hang out
869,um sometimes if you just you know go to the movies go to the beach like I had said or sometimes we just get together someone's house play some board games and hang out,mm-hmm and when you're hanging out with friends is there ever alcohol involved
870,mm-hmm and when you're hanging out with friends is there ever alcohol involved,yeah sometimes
871,yeah sometimes,okay can you tell me a little bit about how alcohol fits into sort of your social scene
872,okay can you tell me a little bit about how alcohol fits into sort of your social scene,uh well it's mostly just for for parties or party settings it's kind of to get things going and got everything loosened up as they say
873,uh well it's mostly just for for parties or party settings it's kind of to get things going and got everything loosened up as they say,mm-hmm and so when you go to parties most of the time there's alcohol there okay and how often do you think you would say you're drinking
874,mm-hmm and so when you go to parties most of the time there's alcohol there okay and how often do you think you would say you're drinking,I'd say um on a not busy month for instance I'd say about like two weekends out of the month two three
875,mm-hmm so about half the time you're drinking and half the time you're not can you tell me what's different about the days when you choose to drink versus not to drink,the days that we drink are mostly like I said they're parties so it's more of that whole partying and dancing and you know having everyone have fun and then when we don't it's a lot more relaxed it's a lot more hanging out playing board games watching a movie it's not yeah
876,so it really depends on what the activity is whether or not alcohols get,definitely
877,definitely,okay and do you notice a big difference or can you tell me about the difference in your enjoyment level at say a party versus and that you're playing board games
878,okay and do you notice a big difference or can you tell me about the difference in your enjoyment level at say a party versus and that you're playing board games,I think of them as as different I think you know like in playing board games and things it's meant to be relaxing so it's nice to have like that kind of breather versus with a party it's a lot more energetic it's a after at all it's very draining
879,I think of them as as different I think you know like in playing board games and things it's meant to be relaxing so it's nice to have like that kind of breather versus with a party it's a lot more energetic it's a after at all it's very draining,mm-hmm
880,mm-hmm,but in the moment it's quite fun to dance and have
881,okay so there's sort of pros and cons,oh yeah
882,oh yeah,okay what are the things that you like about drinking or like about alcohol
883,okay what are the things that you like about drinking or like about alcohol,um it's you know when we drink we we tend to have more fun because I guess we're not you know everyone's drinking together we're a lot more loosened up and relaxed and not really thinking about stresses or things like that but it can be when it's too much drinking it can be can be obviously bad
884,um it's you know when we drink we we tend to have more fun because I guess we're not you know everyone's drinking together we're a lot more loosened up and relaxed and not really thinking about stresses or things like that but it can be when it's too much drinking it can be can be obviously bad,okay so sort of in the the too much drinking or our times can you tell me some of the less good things or not so good things about alcohol
885,okay so sort of in the the too much drinking or our times can you tell me some of the less good things or not so good things about alcohol,um a lot of times it will make make people stupid yeah you know people make dumb decisions and things like that we we usually try to be as safe about it as possible so like sleepover friends house and so you know we're not driving and it's mostly within our friend group so we're not worried about strangers putting weird things in our drinks but um definitely some of the ideas people can have when they're stupid when they're drunk can can be really stupid
886,hmm so you're trying to like you said not engage in really dangerous activities you're trying to stay put you're not driving you're trying to stay with people that you trust but yet it sounds like there's still some some things happening,sometimes yeah
887,sometimes yeah,can you tell me a little bit about that
888,can you tell me a little bit about that,well I especially don't like it whenever me or one of my friends like we drink too much and we hadn't up like throwing up and things like that that I don't that's not fun
889,well I especially don't like it whenever me or one of my friends like we drink too much and we hadn't up like throwing up and things like that that I don't that's not fun,yeah throwing up is never fun it's not and how often do you think that happened
890,yeah throwing up is never fun it's not and how often do you think that happened,for me that's happened to me once it was the first time I ever drank and it was it was a lot and you know what I was doing I was mixing all kinds of weird things I'm just kind of taking anything ever anyone gave me and that didn't end well but after that I have it but I do have friends that that still do sometimes so I'll end up like having to take care of them or something and
891,for me that's happened to me once it was the first time I ever drank and it was it was a lot and you know what I was doing I was mixing all kinds of weird things I'm just kind of taking anything ever anyone gave me and that didn't end well but after that I have it but I do have friends that that still do sometimes so I'll end up like having to take care of them or something and,okay
892,okay,it kind of put it down around my my fun
893,it kind of put it down around my my fun,huh okay so on the one side some of the fun things associated with alcohol are people are just more relaxed sort of carefree and kind of let loose a little bit more on the other hand there's a little bit more I guess planning involved because you have to make sure that you're doing it safely or as safe as you can and then there can be some other consequences like throwing up or even if it's not you that sometimes you're stuck your your fun is sort of ruined when you're stuck dealing with a friend you drink too much okay any other not-so-good things about the alcohol
894,huh okay so on the one side some of the fun things associated with alcohol are people are just more relaxed sort of carefree and kind of let loose a little bit more on the other hand there's a little bit more I guess planning involved because you have to make sure that you're doing it safely or as safe as you can and then there can be some other consequences like throwing up or even if it's not you that sometimes you're stuck your your fun is sort of ruined when you're stuck dealing with a friend you drink too much okay any other not-so-good things about the alcohol,yeah people can get a little like sloppy I guess like they're all loose like with people and corners doing things that should be done in private and that kind of stuff
